"numSeao","nb"
1106258,284
730153,164
1038604,128
1138428,114
569936,104
1051656,104
1144900,102
685036,100
1088529,97
1046276,95
589385,80
877692,80
843857,78
945470,78
545230,76
902888,76
989333,76
516916,75
983291,75
856013,73
568562,72
431445,72
324837,70
1174869,69
457084,68
597327,68
719624,67
1056113,67
537539,66
638629,66
753591,66
904608,66
1087492,65
1115168,65
541525,63
700818,63
600781,61
816674,61
1101696,61
539528,59
252341,58
348378,58
730738,58
942615,57
982023,57
546281,56
243387,55
384437,55
591424,54
974060,54
347198,52
581316,52
659652,52
970770,52
976740,52
945108,51
749289,50
960313,50
1055399,50
598418,49
609603,49
493170,48
923524,48
687454,47
853610,47
1043744,47
1150272,47
612288,46
620537,44
1130557,44
896265,43
472145,42
911248,42
968254,42
977112,42
1016364,42
557307,41
929954,41
1129448,41
370301,40
565704,40
633631,40
803173,39
359952,38
395943,38
636557,38
830896,38
1101986,38
1102074,38
333475,37
593915,37
775057,37
452005,36
577288,36
604362,36
637042,36
723239,36
758066,36
845971,36
882601,36
428104,36
1099550,36
1151399,36
790521,35
764835,35
354192,34
438009,34
783439,34
854685,34
536374,33
575854,33
610010,33
717565,33
734690,33
896479,33
935697,33
1018574,33
1045703,33
1079560,33
1213134,33
554449,32
581056,32
625205,32
735077,32
896187,32
1053800,32
334447,31
565646,31
628479,31
1003009,31
258668,30
373532,30
522077,30
553718,30
694293,30
835513,30
1027444,30
1062000,30
497459,29
689750,29
849031,29
1085410,29
337165,28
353385,28
402519,28
597329,28
607738,28
761890,28
871277,28
888325,28
1187073,28
723255,27
758142,27
828279,27
874173,27
898171,27
903423,27
1112088,27
1104500,27
469609,26
492163,26
497740,26
522479,26
575429,26
628909,26
813979,26
892373,26
905486,26
922461,26
1117853,26
1199303,26
508094,25
563906,25
591649,25
606475,25
630106,25
653197,25
723247,25
893613,25
957597,25
259275,24
469295,24
608251,24
702629,24
723250,24
734597,24
750039,24
877198,24
980567,24
1040577,24
1070034,24
1083981,24
304562,23
332762,23
583746,23
599326,23
620191,23
644675,23
719110,23
871215,23
929261,23
957962,23
1022620,23
1062794,23
1158048,23
339873,22
350749,22
559449,22
608546,22
626104,22
693701,22
736260,22
826269,22
868183,22
872351,22
953221,22
995901,22
1031168,22
1056739,22
1078561,22
1128916,22
1172465,22
449476,21
496619,21
518005,21
607688,21
741416,21
791550,21
880125,21
985528,21
1044153,21
1062007,21
432951,20
488509,20
544395,20
551265,20
553160,20
580744,20
610011,20
617321,20
622839,20
625177,20
658555,20
673622,20
706987,20
703727,20
738442,20
761081,20
777616,20
793937,20
805149,20
854677,20
892390,20
1015449,20
1130139,20
1140128,20
540473,19
624501,19
698846,19
701409,19
741989,19
756779,19
760486,19
805179,19
854687,19
865610,19
965136,19
983428,19
1026094,19
1130488,19
1149721,19
260924,18
301832,18
344572,18
354194,18
437956,18
476905,18
482173,18
538314,18
541306,18
542517,18
563039,18
576799,18
601897,18
610009,18
630128,18
632005,18
637366,18
647752,18
636651,18
692338,18
725548,18
747074,18
747620,18
780487,18
838390,18
874736,18
880497,18
885207,18
902881,18
931423,18
1006410,18
1047384,18
1063021,18
1090625,18
1105984,18
1158692,18
566703,18
273396,17
388045,17
496845,17
550172,17
554117,17
560788,17
603941,17
610012,17
619369,17
753699,17
813952,17
891114,17
918987,17
878988,17
972450,17
972885,17
1011288,17
1049542,17
1065015,17
1123962,17
1160203,17
1138870,17
1194490,17
267723,16
315610,16
326019,16
336435,16
352181,16
408356,16
421428,16
482520,16
508320,16
511983,16
541941,16
597332,16
597334,16
578339,16
608307,16
609088,16
612988,16
621014,16
624197,16
628843,16
636605,16
650352,16
655106,16
719720,16
721493,16
728915,16
735646,16
749966,16
758541,16
822663,16
832800,16
844830,16
813377,16
824339,16
835450,16
841375,16
865094,16
882053,16
936548,16
949187,16
964653,16
973380,16
976300,16
1014271,16
1052861,16
1053215,16
1061601,16
1061999,16
1064324,16
1070097,16
1108144,16
1123789,16
